P\k 10 11 12 13 14
1 2.364011e-01 1.035603e+00 4.583993e+00 1.982513e+01 8.703902e+01
2 1.173601e-01 5.166829e-01 2.277014e+00 9.935908e+00 4.372077e+01
4 5.642891e-02 2.580190e-01 1.128676e+00 4.969223e+00 2.194980e+01
8 2.913594e-02 1.273050e-01 5.627890e-01 2.441106e+00 1.103457e+01
16 1.543283e-02 6.205010e-02 2.817600e-01 1.206091e+00 5.437347e+00
32 8.656979e-03 3.251910e-02 1.402822e-01 6.026108e-01 2.630438e+00
